actor_id,film_id
1,1
10,1
20,1
30,1
1,23
4,23
22,23
1,25
4,25
7,25
1,106
1,140
20,140
1,166
1,277
24,277
37,277
1,361
1,438
16,438
34,438
1,499
20,499
36,499
1,506
1,509
6,509
1,605
6,605
1,635
4,635
12,635
15,635
26,635
1,749
1,832
4,832
13,832
24,832
1,939
1,970
14,970
1,980
10,980
32,980
2,3
19,3
24,3
2,31
15,31
2,47
8,47
2,105
23,105
29,105
2,132
2,145
2,226
23,226
25,226
29,226
2,249
2,314
2,321
8,321
18,321
21,321
30,321
2,357
30,357
2,369
5,369
22,369
2,399
2,458
8,458
38,458
2,481
2,485
11,485
37,485
2,518
2,540
12,540
27,540
2,550
2,555
37,555
2,561
18,561
2,742
22,742
2,754
33,754
2,811
5,811
9,811
2,958
3,17
12,17
13,17
3,40
3,42
23,42
3,87
4,87
13,87
16,87
21,87
30,87
3,111
22,111
38,111
3,185
3,289
3,329
26,329
3,336
34,336
3,341
3,393
34,393
3,441
3,453
11,453
16,453
36,453
3,480
10,480
3,539
3,618
7,618
33,618
38,618
3,685
3,827
28,827
38,827
3,966
10,966
13,966
37,966
3,967
16,967
27,967
3,971
34,971
3,996
27,996
4,56
22,56
33,56
4,62
4,79
29,79
4,355
4,379
4,398
21,398
27,398
4,463
7,463
24,463
4,490
19,490
4,616
4,691
7,691
23,691
4,712
33,712
4,714
20,714
36,714
4,721
4,798
21,798
4,858
4,909
4,924
15,924
5,19
27,19
37,19
5,54
20,54
5,85
27,85
5,146
20,146
22,146
31,146
37,146
5,171
36,171
5,172
18,172
27,172
29,172
34,172
5,202
5,203
13,203
39,203
5,286
30,286
5,288
5,316
5,340
26,340
5,375
5,383
5,392
26,392
5,411
25,411
5,503
6,503
16,503
27,503
5,535
5,571
13,571
5,650
9,650
5,665
5,687
5,730
5,732
26,732
30,732
35,732
5,817
13,817
15,817
35,817
5,841
5,865
9,865
6,29
13,29
6,53
30,53
6,60
6,70
6,112
24,112
32,112
33,112
6,164
24,164
31,164
6,165
20,165
6,193
6,256
24,256
35,256
6,451
6,517
6,519
29,519
6,692
6,826
23,826
6,892
6,902
6,994
28,994
7,27
7,35
35,35
7,67
7,96
17,96
28,96
7,170
7,173
7,217
19,217
7,218
16,218
7,225
26,225
7,292
14,292
30,292
7,351
7,414
15,414
23,414
7,554
8,554
7,633
7,637
27,637
31,637
7,758
16,758
26,758
7,766
23,766
7,770
17,770
7,805
27,805
7,806
7,846
34,846
7,900
37,900
7,901
7,910
7,957
17,957
7,959
17,959
8,115
8,158
8,179
21,179
25,179
8,195
8,205
11,205
8,255
14,255
8,263
28,263
8,396
8,523
32,523
8,532
11,532
28,532
8,752
9,752
19,752
8,769
8,771
19,771
27,771
8,859
8,895
8,936
9,30
9,74
28,74
9,147
26,147
9,148
24,148
9,191
10,191
9,200
9,204
25,204
37,204
9,434
9,510
19,510
9,514
9,552
9,671
9,697
25,697
37,697
9,722
9,815
32,815
9,873
17,873
27,873
9,889
27,889
9,903
9,926
9,964
10,964
22,964
9,974
10,9
22,9
26,9
10,236
15,236
17,236
10,251
10,366
20,366
10,477
27,477
37,477
10,522
13,522
10,530
21,530
10,587
11,587
10,694
33,694
37,694
10,703
10,716
12,716
36,716
10,782
23,782
10,914
25,914
35,914
10,929
34,929
10,930
10,983
21,983
11,118
37,118
11,281
21,281
11,283
36,283
11,348
20,348
11,364
11,395
11,429
21,429
11,433
11,567
32,567
11,597
13,597
28,597
11,636
23,636
11,709
11,850
11,854
27,854
11,888
11,896
11,928
29,928
32,928
11,938
11,969
24,969
11,988
12,16
12,34
26,34
27,34
12,37
12,91
15,91
12,92
12,107
28,107
12,155
16,155
12,177
16,177
12,208
19,208
12,213
25,213
12,216
12,243
20,243
12,344
12,400
12,416
12,420
25,420
12,457
17,457
12,513
13,513
19,513
12,593
27,593
12,631
12,672
12,728
12,812
29,812
12,838
30,838
12,871
25,871
12,880
17,880
27,880
31,880
12,945
30,945
13,45
13,110
29,110
13,144
18,144
19,144
13,154
14,154
17,154
33,154
13,162
13,254
23,254
13,337
13,346
13,381
36,381
13,385
13,427
32,427
36,427
13,456
16,456
13,515
17,515
24,515
13,524
13,528
13,588
37,588
13,600
22,600
36,600
13,718
13,729
13,816
28,816
13,833
23,833
13,843
13,897
13,998
14,187
14,232
14,241
26,241
38,241
14,253
21,253
37,253
14,258
14,284
14,370
23,370
14,415
27,415
14,417
14,418
22,418
14,454
14,472
14,475
14,495
22,495
14,536
18,536
22,536
23,536
14,537
14,612
18,612
35,612
14,688
22,688
25,688
26,688
14,759
14,764
26,764
14,847
14,856
23,856
14,890
14,908
28,908
14,919
14,948
17,948
15,89
22,89
15,108
15,125
23,125
34,125
15,275
15,280
16,280
17,280
18,280
15,326
15,342
29,342
15,445
20,445
15,500
17,500
27,500
15,502
28,502
34,502
15,541
15,553
37,553
15,594
15,626
15,745
15,783
15,795
26,795
15,886
16,886
15,949
15,968
15,985
16,80
16,101
16,121
16,221
16,267
16,269
20,269
16,271
16,287
28,287
16,345
26,345
16,455
16,548
16,582
16,583
25,583
38,583
16,717
18,717
20,717
16,779
34,779
17,119
34,119
37,119
17,124
17,127
17,199
24,199
32,199
17,201
26,201
35,201
17,310
17,313
17,378
17,469
17,478
20,478
17,521
17,573
17,603
24,603
17,606
25,606
32,606
17,734
21,734
17,794
34,794
17,800
17,853
23,853
34,853
37,853
38,853
17,874
18,44
18,84
32,84
18,268
18,279
18,386
18,460
18,462
27,462
29,462
18,484
36,484
18,808
18,842
23,842
18,863
20,863
18,883
18,917
18,944
29,944
19,2
19,152
19,182
34,182
19,212
23,212
19,266
19,404
25,404
19,428
19,473
33,473
19,644
26,644
19,670
19,673
23,673
19,711
19,750
19,756
19,785
37,785
19,877
20,63
20,231
36,231
20,274
38,274
20,492
20,527
20,531
20,538
25,538
20,589
35,589
20,643
20,652
28,652
20,663
37,663
20,757
20,784
20,962
20,977
21,6
23,6
21,88
31,88
21,142
21,159
21,426
36,426
21,497
21,507
21,680
21,686
21,700
31,700
21,702
21,733
21,804
23,804
21,887
21,893
21,920
22,291
22,294
22,349
22,430
22,483
22,491
23,491
22,634
22,648
22,731
36,731
22,775
33,775
22,802
31,802
22,912
23,78
23,116
23,117
23,235
23,367
23,419
23,435
23,449
29,449
23,549
23,649
23,820
23,855
23,935
23,981
23,997
37,997
24,83
24,126
24,178
24,194
24,242
24,335
29,335
38,335
24,405
24,585
31,585
32,585
24,653
24,704
24,781
24,829
25,21
26,21
25,86
25,153
25,245
36,245
25,311
29,311
25,564
26,564
25,755
26,90
34,90
26,93
26,103
32,103
26,186
26,327
26,390
36,390
26,529
37,529
26,544
26,682
27,682
26,715
36,715
26,821
26,885
26,904
27,904
26,906
27,150
27,273
29,273
27,334
27,347
27,359
27,586
27,679
28,679
27,695
27,830
27,986
28,14
28,43
34,43
28,58
28,259
28,358
28,508
37,508
28,551
28,574
33,574
28,619
38,619
28,625
28,743
28,790
28,793
31,793
38,793
28,835
28,879
28,953
28,973
29,10
35,10
37,10
29,131
29,133
29,282
29,296
29,436
29,444
29,482
29,488
29,547
38,547
29,590
36,590
29,646
29,723
29,862
30,64
30,69
30,77
30,260
37,260
30,262
30,301
30,318
30,565
30,797
31,163
31,188
31,299
31,308
31,368
31,380
36,380
31,431
32,431
31,739
31,978
32,65
32,136
32,197
32,219
32,309
32,312
32,401
32,651
32,667
33,667
32,669
33,135
33,214
33,252
33,305
33,306
33,489
33,735
33,737
33,878
33,881
33,965
33,972
33,993
34,244
34,389
35,389
34,493
36,493
34,525
34,668
34,720
34,788
34,836
34,950
35,52
35,615
35,707
35,738
35,748
36,15
36,81
36,387
36,410
36,466
36,569
36,875
36,915
36,931
36,956
37,12
37,122
37,317
37,467
37,572
37,662
37,839
38,839
37,840
37,925
37,963
37,989
38,24
38,160
38,176
38,223
38,338
38,353
38,448
38,450
38,501
38,516
38,705
38,876
39,71
39,73
39,168
39,222
39,290
39,293
